,chat_20240522_171513.txt,chat_20240522_171228.txt,chat_20240522_170149.txt
1. No Poverty,,,
2. Zero Hunger,,,
3. Good Health and Well-being,,,
4. Quality Education,,,
5. Gender Equality,,,
6. Clean Water and Sanitation,,,
7. Affordable and Clean Energy,1.0,1.0,1.0
8. Decent Work and Economic Growth,,,
"9. Industry, Innovation, and Infrastructure",2.0,2.0,2.0
10. Reduced Inequality,,,
11. Sustainable Cities and Communities,,,
12. Responsible Consumption and Production,3.0,3.0,3.0
13. Climate Action,4.0,4.0,4.0
14. Life Below Water,,,
15. Life on Land,,,
"16. Peace, Justice, and Strong Institutions",,,
17. Partnerships for the Goals,,5.0,
