,chat_20240522_171543.txt,chat_20240522_171250.txt,chat_20240522_170618.txt
1. No Poverty,,,
2. Zero Hunger,,,
3. Good Health and Well-being,1.0,1.0,1.0
4. Quality Education,,,
5. Gender Equality,,,
6. Clean Water and Sanitation,4.0,4.0,5.0
7. Affordable and Clean Energy,5.0,,6.0
8. Decent Work and Economic Growth,,,4.0
"9. Industry, Innovation, and Infrastructure",2.0,3.0,
10. Reduced Inequality,,,
11. Sustainable Cities and Communities,,,
12. Responsible Consumption and Production,3.0,2.0,3.0
13. Climate Action,,,2.0
14. Life Below Water,,,
15. Life on Land,,,
"16. Peace, Justice, and Strong Institutions",,,
17. Partnerships for the Goals,,,7.0
